"\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Subject ID, Consent, Subject Alias\",phv00082624,SUBJID
"\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Subject ID, Consent, Subject Alias\",phv00082625,CONSENT
"\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Subject ID, Consent, Subject Alias\",phv00082626,SUBJ_SOURCE
"\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Subject ID, Consent, Subject Alias\",phv00082627,SOURCE_SUBJID
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Pedigree\,phv00082628,FAMID
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Pedigree\,phv00082629,SUBJID
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Pedigree\,phv00082630,MOTHER
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Pedigree\,phv00082631,FATHER
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Pedigree\,phv00082632,SEX
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Pedigree\,phv00082633,TWINID
"\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Subject-Sample Mapping, Sample Alias, Project Information, and Sample Use\",phv00082634,SUBJID
"\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Subject-Sample Mapping, Sample Alias, Project Information, and Sample Use\",phv00082635,SAMPID
"\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Subject-Sample Mapping, Sample Alias, Project Information, and Sample Use\",phv00082636,SAMP_SOURCE
"\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Subject-Sample Mapping, Sample Alias, Project Information, and Sample Use\",phv00082637,SOURCE_SAMPID
"\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Subject-Sample Mapping, Sample Alias, Project Information, and Sample Use\",phv00163181,STUDY
"\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\Subject-Sample Mapping, Sample Alias, Project Information, and Sample Use\",phv00163182,SAMPLE_USE
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\,phv00196277,ppa_101
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\,phv00196278,rm_101
\Multi-Ethnic Study of Atherosclerosis (MESA) Cohort\MESA Classic\MESA Exam 1 Main\,phv00196279,aix_ao_101
