"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Sociodemography and Administration\",phv00294463,AAO0AY
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Sociodemography and Administration\",phv00294436,SUBJECT_ID
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aorta Diameters\",phv00294437,AAO1
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aorta Diameters\",phv00294438,AAO2A
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aorta Diameters\",phv00294439,AAO2B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aorta Diameters\",phv00294440,AAO2C
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aorta Diameters\",phv00294441,AAO2D
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aorta Diameters\",phv00294442,AAO2E
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aorta Diameters\",phv00294443,AAO2F
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Fusiform Aneurysm Diameter\",phv00294444,AAO2G
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Fusiform Aneurysm Diameter\",phv00294445,AAO2H
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Saccular Aneurysm Transverse\",phv00294447,AAO3B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Alert Result\",phv00294448,AAO4A
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Alert Result\",phv00294449,AAO4A1
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Alert Result\",phv00294450,AAO4B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Alert Result\",phv00294451,AAO4B1
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Abnormal Result\",phv00294452,AAO4C
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Abnormal Result\",phv00294454,AAO4D
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Abnormal Result\",phv00294453,AAO4C1
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Abnormal Result\",phv00294455,AAO4D1
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Abnormal Result\",phv00294456,AAO4E
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Abnormal Result\",phv00294457,AAO4E1
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Normal Aorta Results\",phv00294458,AAO4F
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aortic Aneurysmal Surgery\",phv00294459,AAO4G
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aortic Stent/Angioplasty\",phv00294460,AAO4H
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aortic Scan Quality\",phv00294461,AAO5
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Over-Reader Data Collection Form, AAO\Visit 5\Physical Observations\Aortic Scan Quality\",phv00294462,AAO7
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Sociodemography and Administration\",phv00294488,AAT0AY
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Sociodemography and Administration\",phv00294464,SUBJECT_ID
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Scan\",phv00294465,AAT2
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Aorta Diameters\",phv00294466,AAT3A
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Aorta Diameters\",phv00294467,AAT3B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Aorta Diameters\",phv00294468,AAT3C
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Aorta Diameters\",phv00294469,AAT3D
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Aorta Diameters\",phv00294470,AAT3E
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Aorta Diameters\",phv00294471,AAT3F
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Aorta Diameters\",phv00294474,AAT4
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Fusiform Aneurysm Diameter\",phv00294472,AAT3G
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Fusiform Aneurysm Diameter\",phv00294473,AAT3H
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Saccular Aneurysm\",phv00294475,AAT5A
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Saccular Aneurysm\",phv00294476,AAT5B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Thrombus\",phv00294477,AAT5C1
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Thrombus\",phv00294478,AAT5C2
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Thrombus\",phv00294479,AAT5C3
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Thrombus\",phv00294480,AAT5D
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Thrombus\",phv00294481,AAT5E
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Aorta Scan\",phv00294482,AAT6A
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Aorta Scan\",phv00294483,AAT6B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Alert Result\",phv00294484,AAT7A
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Alert Result\",phv00294485,AAT7B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Alert Result\",phv00294486,AAT7C
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\AAA Technologist Data Collection Form, AAT\Visit 5\Physical Observations\Alert Result\",phv00294487,AAT7D
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Sociodemography and Administration\",phv00294879,AQC0AY
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Sociodemography and Administration\",phv00294848,SUBJECT_ID
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Difficulty in Obtaining Care\",phv00294864,AQC10
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Difficulty in Obtaining Care\",phv00294865,AQC11A
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Difficulty in Obtaining Care\",phv00294866,AQC11B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Difficulty in Obtaining Care\",phv00294867,AQC11C
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Difficulty in Obtaining Care\",phv00294868,AQC12A
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Difficulty in Obtaining Care\",phv00294869,AQC12B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Difficulty in Obtaining Care\",phv00294870,AQC12C
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Difficulty in Obtaining Care\",phv00294871,AQC12D
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Difficulty in Obtaining Care\",phv00294872,AQC12E
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Difficulty in Obtaining Care\",phv00294873,AQC12F
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Care Satisfaction\",phv00294874,AQC13A
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Care Satisfaction\",phv00294875,AQC13B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Care Satisfaction\",phv00294876,AQC13C
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Care Satisfaction\",phv00294877,AQC13D
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Care Satisfaction\",phv00294878,AQC14
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Insurance\",phv00294849,AQC2
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Insurance\",phv00294850,AQC3A
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Insurance\",phv00294851,AQC3B
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Insurance\",phv00294852,AQC3C
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Insurance\",phv00294853,AQC3D
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Insurance\",phv00294854,AQC3E
"\Atherosclerosis Risk in Communities (ARIC) Cohort\Subject Phenotype\Cohort Exam\Access and Quality of Care, AQC\Visit 5\Physical Observations\Health Insurance\",phv00294855,AQC3F
