\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Affection Status\,phv00121844,phenotype
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Sociodemography\,phv00121845,gender
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Sociodemography\,phv00121846,enrollage
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Sociodemography\,phv00121847,state_enroll
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Sociodemography\,phv00121875,Hispanic
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Sociodemography\,phv00121876,race_afram
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Sociodemography\,phv00121877,race_amind
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Sociodemography\,phv00121878,race_asian
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Sociodemography\,phv00121879,race_other
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Sociodemography\,phv00121880,race_pacisl
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Sociodemography\,phv00121881,race_white
"\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Subject IDs, Subject Consents, Subject-Subject Mapping\",phv00121829,SUBJID
"\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Subject IDs, Subject Consents, Subject-Subject Mapping\",phv00121830,CONSENT
"\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Subject IDs, Subject Consents, Subject-Subject Mapping\",phv00121831,SUBJ_SOURCE
"\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Subject IDs, Subject Consents, Subject-Subject Mapping\",phv00121832,SOURCE_SUBJID
"\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Subject IDs, Subject Consents, Subject-Subject Mapping\",phv00121843,geneva_id
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Pedigree\,phv00121833,FAMID
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Pedigree\,phv00121834,SUBJID
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Pedigree\,phv00121835,FATHER
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Pedigree\,phv00121836,MOTHER
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Pedigree\,phv00121837,SEX
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Pedigree\,phv00121838,PEDNOTE
"\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Subject-Sample Mapping, Sample-Sample Mapping\",phv00121839,SUBJID
"\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Subject-Sample Mapping, Sample-Sample Mapping\",phv00121840,SAMPID
"\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Subject-Sample Mapping, Sample-Sample Mapping\",phv00121841,SAMP_SOURCE
"\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Sociodemography and Administration\Subject-Sample Mapping, Sample-Sample Mapping\",phv00121842,SOURCE_SAMPID
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Cancer\,phv00121851,cancer
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Cancer\,phv00121852,breast_cancer
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Cancer\,phv00121853,colon_cancer
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Cancer\,phv00121854,lung_cancer
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Cancer\,phv00121855,prostate_cancer
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Cancer\,phv00121856,other_cancer
\NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)\Medical History\Liver Diseases\,phv00121857,liver_disease
