\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Subject - Consent Information\,phv00225455,CONSENT
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Subject - Consent Information\,phv00265493,SOURCE_SUBJECT_ID
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Subject - Consent Information\,phv00225454,SUBJECT_ID
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Subject - Consent Information\,phv00265492,SUBJECT_SOURCE
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Pedigree Information\,phv00266100,FAMID
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Pedigree Information\,phv00266102,FATHER
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Pedigree Information\,phv00266103,MOTHER
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Pedigree Information\,phv00266104,SEX
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Pedigree Information\,phv00266101,SUBJECT_ID
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Pedigree Information\,phv00266109,STUDY
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Subject - Sample Mapping - Sample Use Information\,phv00225462,SAMPLE_ID
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Subject - Sample Mapping - Sample Use Information\,phv00225463,SAMPLE_USE
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Subject - Sample Mapping - Sample Use Information\,phv00225464,STUDY
\T2D-GENES: San Antonio Mexican American Family Studies (SAMAFS)\Subject - Sample Mapping - Sample Use Information\,phv00225461,SUBJECT_ID
