\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Affection Status\,phv00258638,AFFECTION_STATUS
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Sociodemography\,phv00258651,race
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Subject IDs and Consents\,phv00258636,SUBJECT_ID
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Subject IDs and Consents\,phv00258637,CONSENT
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Pedigree\,phv00258639,FAMILY_ID
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Pedigree\,phv00258640,SUBJECT_ID
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Pedigree\,phv00258641,MOTHER
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Pedigree\,phv00258642,FATHER
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Pedigree\,phv00258643,SEX
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Pedigree\,phv00267369,TWINID
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Pedigree\,phv00267370,unannotated_Deg2
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Subject Sample Mapping\,phv00258645,SUBJECT_ID
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Subject Sample Mapping\,phv00258646,SAMPLE_ID
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sociodemography and Administration\Other IDs\,phv00258648,SUBJECT_ID
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Physical Observations\,phv00258649,gender
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Physical Observations\,phv00258650,age
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Physical Observations\,phv00258652,asthma
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Physical Observations\,phv00267371,height
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Physical Observations\,phv00267372,weight
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Physical Observations\,phv00267373,bmi
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Lifestyle and Environment - Smoking Status\,phv00267374,ever_Smoker
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Lifestyle and Environment - Smoking Status\,phv00267375,Current_Smoker
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Lifestyle and Environment - Smoking Status\,phv00267376,former_Smoker
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Lifestyle and Environment - Smoking Status\,phv00267377,packyrs
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Lifestyle and Environment - Smoking Status\,phv00267378,cigsperday
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Lifestyle and Environment - Smoking Status\,phv00267379,cigsperday_average
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00258653,SAMPLE_ID
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00258654,BODY_SITE
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00258655,ANALYTE_TYPE
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00258656,HISTOLOGICAL_TYPE
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00258657,IS_TUMOR
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00258658,EXTRACTION_METHOD
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00258659,GENOME_AMPLIFIED
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00301400,SEQUENCING_CENTER
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00301401,Funding_Source
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00301402,TOPMed_Phase
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00301403,Study_Name
\NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica\Sample Attributes\,phv00301404,TOPMed_Project
