\NHLBI TOPMed: MGH Atrial Fibrillation Study\Affection Status\,phv00258883,AFFECTION_STATUS
"\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00258881,SUBJECT_ID
"\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00258882,CONSENT
"\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00309962,SUBJECT_SOURCE
"\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00309963,SOURCE_SUBJECT_ID
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sociodemography and Administration\Subject Sample Mapping and Sample Use\,phv00258884,SUBJECT_ID
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sociodemography and Administration\Subject Sample Mapping and Sample Use\,phv00258885,SAMPLE_ID
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sample Attributes\,phv00258887,SAMPLE_ID
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sample Attributes\,phv00258888,BODY_SITE
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sample Attributes\,phv00258889,ANALYTE_TYPE
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sample Attributes\,phv00258890,IS_TUMOR
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sample Attributes\,phv00309964,SEQUENCING_CENTER
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sample Attributes\,phv00309965,Funding_Source
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sample Attributes\,phv00309966,TOPMed_Project
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sample Attributes\,phv00309967,Study_Name
\NHLBI TOPMed: MGH Atrial Fibrillation Study\Sample Attributes\,phv00309968,TOPMed_Phase
